market,sportsbook,league,wins,losses,profit,roi_pct,est_user_bpd
Total Hits,NoVig,MLB,3.7,5.1,-1.49,-2.12,16.0
Total Hits,PointsBet,MLB,3000.0,3.7,403.51,0.75,13.0
Total Hits,DraftKings,MLB,2.7,3.7,-199.98,-0.38,12.0
Total Hits,HardRockNJ,MLB,2.5,3.8,451.39,0.9,12.0
Total Hits,HardRock,MLB,2.5,3.8,451.39,0.9,12.0
Total Hits,OnyxOdds,MLB,2.6,3.6,-427.3,-0.85,12.0
Total Hits,BetMGM,MLB,1.9,2.6,-619.41,-1.72,9.0
Total Hits,Borgata,MLB,1.9,2.6,-619.41,-1.72,9.0
Total Hits,SportsInteraction,MLB,1.9,2.6,-619.41,-1.72,9.0
Total Hits,ProphetX,MLB,1.8,2.3,-857.37,-2.59,8.0
Total Hits,BetOnline,MLB,1.5,1.9,298.4,1.09,7.0
Total Home Runs,NoVig,MLB,2.3,1.4,-1.72,-5.76,7.0
Points,DraftKings,NBA,4.7,3.7,2.52,3.79,7.0
Total Home Runs,ProphetX,MLB,1.5,1.6,-863.94,-3.47,6.0
Total Hits,TheScore,MLB,1.3,1.6,-720.04,-3.09,6.0
Points,BetMGM,NBA,4.2,3.4,1.64,2.7,6.0
Points,Borgata,NBA,4.2,3.4,1.64,2.7,6.0
Points,SportsInteraction,NBA,4.2,3.4,1.64,2.7,6.0
Points + Rebounds + Assists,BetMGM,NBA,3.9,3000.0,2.68,4.87,6.0
Points + Rebounds + Assists,Borgata,NBA,3.9,3000.0,2.68,4.87,6.0
Points + Rebounds + Assists,SportsInteraction,NBA,3.9,3000.0,2.68,4.87,6.0
Rebounds,BetMGM,NBA,3.9,3000.0,1.76,3.2,6.0
Rebounds,Borgata,NBA,3.9,3000.0,1.76,3.2,6.0
Rebounds,SportsInteraction,NBA,3.9,3000.0,1.76,3.2,6.0
Rebounds,DraftKings,NBA,4.4,3.4,1.59,2.57,6.0
Points,HardRockNJ,NBA,4000.0,3.2,984.76,1.72,6.0
Points,HardRock,NBA,4.3,3.4,853.62,1.39,6.0
3-Pointers,PointsBet,NBA,3.9,3.2,2.84,5.05,6.0
Total Hits,Fanatics,MLB,1.1,1.4,238.57,1.19,5.0
Total Singles,HardRockNJ,MLB,1.4,1.3,97.58,0.46,5.0
Total Singles,HardRock,MLB,1.4,1.3,97.58,0.46,5.0
Hits + Runs + RBIs,NoVig,MLB,1.2,1.3,219.49,1.1,5.0
Total Strikeouts,NoVig,MLB,1.2,1.2,4.66,0.02,5.0
Total Bases,PointsBet,MLB,1.4,1000.0,933.67,4.72,5.0
Assists,DraftKings,NBA,3000.0,2.4,1.39,3.2,5.0
3-Pointers,DraftKings,NBA,3.6,3000.0,2.51,4.76,5.0
Points + Rebounds + Assists,HardRock,NBA,3.1,2.5,1.68,3.76,5.0
Rebounds,HardRock,NBA,3.3,2.5,2.15,4.63,5.0
Points,OnyxOdds,NBA,3.6,2.9,1.22,2.35,5.0
Rebounds,OnyxOdds,NBA,3.4,2.5,1.16,2.46,5.0
Points,PointsBet,NBA,3.6,2.8,1.61,3.12,5.0
Rebounds,PointsBet,NBA,3.5,2.6,1.64,3.39,5.0
Points,TheScore,NBA,3.5,2.9,815.51,1.61,5.0
Total Points,Unibet,NHL,1.4,1.2,1.21,5.96,5.0
Total Points,BetParx,NHL,1.4,1.2,1.21,5.96,5.0
Total Points,NorthStarBetsON,NHL,1.4,1.2,1.21,5.96,5.0
Total Hits,Betcris,MLB,776.0,1.2,411.98,2.59,4.0
Total Hits,BookMaker,MLB,776.0,1.2,411.98,2.59,4.0
Total Hits,Unibet,MLB,879.0,1.3,536.73,3.07,4.0
Total Hits,BetParx,MLB,879.0,1.3,536.73,3.07,4.0
Total Hits,NorthStarBetsON,MLB,879.0,1.3,536.73,3.07,4.0
Total Home Runs,Unibet,MLB,466.0,1.5,599.77,3.87,4.0
Total Home Runs,BetParx,MLB,466.0,1.5,599.77,3.87,4.0
Total Home Runs,NorthStarBetsON,MLB,466.0,1.5,599.77,3.87,4.0
Total Hits,BetRivers,MLB,868.0,1.3,495.72,2.86,4.0
Total Hits,SugarHouse,MLB,868.0,1.3,495.72,2.86,4.0
Total Home Runs,BetRivers,MLB,451.0,1.4,107.1,0.71,4.0
