sportsbook,bets,stake,profit,roi,avg_clv,median_clv,worst_decile_clv
Bally Bet,125.0,631.01,122.96000000000001,0.19486220503637028,0.03341786754135589,0.029940119760479167,0.0
Bet365,54.0,1490.55,78.10999999999999,0.052403475227265094,-0.09271523178807939,-0.09271523178807939,-0.09271523178807939
BetMGM,251.0,2700.6,21.340000000000003,0.007901947715322523,0.04179904727488194,0.028837843228508686,-0.03241254560505251
BetRivers - Indiana,77.0,603.03,45.22999999999999,0.07500456030379914,0.040656894821886704,0.03406673114119929,-0.025619900603290204
Caesars Sportsbook,46.0,558.0,-40.44000000000002,-0.07247311827956993,0.16351218341364473,0.04712041884816753,-0.05620721554116543
Draftkings Sportsbook,110.0,1220.12,52.13,0.042725305707635323,0.04048140749078078,0.020942408376963373,-0.06499999999999995
Fanatics,31.0,281.24,74.80000000000001,0.2659650120893188,0.029638510028118802,0.018120929740032765,-0.04096828293789758
Fanduel Sportsbook,57.0,593.5699999999999,73.31999999999998,0.12352376299341272,0.035458897064565134,0.0277777777777779,-0.0324531312325488
Hard Rock Sportsbook,282.0,2244.23,29.85,0.013300775767189637,0.046319518026842504,0.043689320388349495,-0.049387084544420506
Kalshi,14.0,167.14,-4.139999999999999,-0.024769654182122767,-0.040857324365810674,-0.03986699574934871,-0.1284962406015038
Novig,204.0,3058.96132,297.91,0.09738926675934563,0.05530277498943931,0.06256157635467985,-0.013385263695568824
Onyx,70.0,666.1400000000001,-96.10000000000001,-0.14426396853514276,0.012452321010497801,0.005649717514124353,-0.048575567358763894
ProphetX,75.0,1022.84,-84.89999999999998,-0.08300418442767195,0.0840495523988618,0.08839779005524862,0.010632339656729876
theScore Bet,54.0,709.03,-27.350000000000005,-0.038573826213277304,0.0028468153643048688,-0.008620689655172376,-0.07295813315030888
