league_norm,market_norm,sportsbook,bets,stake,profit,roi,avg_clv,median_clv,worst_decile_clv
Bundesliga,Total,Bet365,2.0,60.0,-20.0,-0.3333333333333333,,,
NBA,3-Pointers,Kalshi,1.0,22.51,12.49,0.5548645046645935,,,
NBA,3-Pointers,theScore Bet,1.0,12.0,-12.0,-1.0,-0.06488549618320605,-0.06488549618320605,-0.06488549618320605
NBA,Assists,Bally Bet,1.0,1.23,1.16,0.9430894308943089,0.375886524822695,0.375886524822695,0.375886524822695
NBA,Assists,BetMGM,122.0,1235.14,-95.86,-0.07761063523163365,0.0316960364001078,0.02532051282051284,-0.044518716577540175
NBA,Assists,BetRivers - Indiana,2.0,11.0,-1.4,-0.12727272727272726,0.028370822213750202,0.028370822213750202,0.02316050324056427
NBA,Assists,Draftkings Sportsbook,4.0,45.0,-23.2,-0.5155555555555555,-0.049345533254624124,-0.06088154269972451,-0.1243107438016528
NBA,Assists,Fanduel Sportsbook,3.0,90.0,30.650000000000002,0.34055555555555556,0.04998617686848439,0.037735849056603765,0.011449608835711
NBA,Assists,Hard Rock Sportsbook,2.0,16.0,15.200000000000001,0.9500000000000001,0.05570291777188341,0.05570291777188341,0.03872679045092846
NBA,Assists,Novig,10.0,251.22061,114.46999999999998,0.4556552903840174,0.04157664730979092,0.05176440062272969,-0.03381422924901188
NBA,Assists,Onyx,38.0,362.27,-4.779999999999998,-0.01319457862919921,0.008841424868370102,0.005649717514124353,-0.04867678193366272
NBA,Moneyline,Draftkings Sportsbook,4.0,40.0,22.0,0.55,0.048346728855203414,-0.05600924499229587,-0.09542372881355939
NBA,Moneyline,theScore Bet,3.0,36.37,-36.37,-1.0,-0.07475186104218362,-0.07475186104218362,-0.07648883374689822
NBA,Other,Kalshi,1.0,16.1,-16.1,-1.0,0.0181818181818183,0.0181818181818183,0.0181818181818183
NBA,Point Spread,Draftkings Sportsbook,1.0,10.0,-10.0,-1.0,0.01754385964912264,0.01754385964912264,0.01754385964912264
NBA,Point Spread,Fanduel Sportsbook,1.0,30.0,7.5,0.25,,,
NBA,Point Spread,Novig,1.0,4.54274,6.0,1.3207887750564637,0.07407407407407396,0.07407407407407396,0.07407407407407396
NBA,Point Spread,ProphetX,1.0,5.6,4.62,0.8250000000000001,0.03977272727272729,0.03977272727272729,0.03977272727272729
NBA,Points,Bally Bet,3.0,58.0,28.9,0.4982758620689655,-0.0001753309371439471,-0.0001753309371439471,-0.01314982028578946
NBA,Points,BetMGM,4.0,105.0,-73.22,-0.6973333333333334,0.16897972448122264,0.19631901840490795,0.0904265943786561
NBA,Points,BetRivers - Indiana,51.0,435.31,38.14999999999999,0.08763869426385792,0.05385430807932897,0.04519774011299438,-0.05224526782118398
NBA,Points,Draftkings Sportsbook,10.0,101.8,66.16,0.649901768172888,0.17919281049700445,0.1355926642826678,-0.01812808679459147
NBA,Points,Fanatics,1.0,8.0,-8.0,-1.0,-0.025000000000000022,-0.025000000000000022,-0.025000000000000022
NBA,Points,Hard Rock Sportsbook,5.0,48.0,-13.270000000000001,-0.27645833333333336,0.07951040601942641,0.08465608465608465,0.02846153846153836
NBA,Points,Kalshi,3.0,66.67999999999999,10.320000000000002,0.1547690461907619,-0.10920333620937589,-0.10920333620937589,-0.13973540408398036
NBA,Points,Novig,44.0,701.9273499999999,-71.98,-0.10254622504736424,0.04687684895137857,0.05924842484248427,-0.05662962962962956
NBA,Points,Onyx,2.0,55.21,-5.280000000000001,-0.09563484875928276,0.06652229610199467,0.06652229610199467,0.029799304581223617
NBA,Points,ProphetX,15.0,338.18,-96.75999999999999,-0.286119817848483,0.04688156433557055,0.05631141345427049,-0.02688311688311692
NBA,Points + Assists,Draftkings Sportsbook,1.0,10.0,9.17,0.917,-0.015384615384615441,-0.015384615384615441,-0.015384615384615441
NBA,Points + Assists,Hard Rock Sportsbook,2.0,18.0,-18.0,-1.0,0.15168539325842678,0.15168539325842678,0.15168539325842678
NBA,Points + Rebounds,Draftkings Sportsbook,2.0,18.0,-3.55,-0.19722222222222222,0.06249125066494948,0.06249125066494948,-0.013170199064871078
NBA,Points + Rebounds + Assists,Draftkings Sportsbook,2.0,25.0,20.79,0.8316,-0.0514159764894469,-0.0514159764894469,-0.0630750734704782
NBA,Rebounds,BetMGM,12.0,253.0,-30.800000000000004,-0.12173913043478263,0.05907566751798594,0.05142812139031805,-0.015823617077233298
