league_norm,market_norm,bets,stake,profit,roi,avg_clv,median_clv,worst_decile_clv,avg_os_rating
Bundesliga,Total,2.0,60.0,-20.0,-0.3333333333333333,,,,20.0
NBA,3-Pointers,2.0,34.510000000000005,0.4900000000000002,0.01419878296146045,-0.06488549618320605,-0.06488549618320605,-0.06488549618320605,20.0
NBA,Assists,182.0,2011.86061,36.23999999999993,0.01801317637010644,0.02813357000463978,0.023809523809523725,-0.048676781933662705,20.0
NBA,Moneyline,7.0,76.37,-14.369999999999997,-0.18816289118763907,0.007313865556074402,-0.07475186104218362,-0.09237288135593225,20.0
NBA,Other,1.0,16.1,-16.1,-1.0,0.0181818181818183,0.0181818181818183,0.0181818181818183,20.0
NBA,Point Spread,4.0,50.14274,8.120000000000001,0.16193770025331683,0.043796886998641295,0.03977272727272729,0.02198963317384357,20.0
NBA,Points,138.0,1918.1073500000002,-124.97999999999998,-0.06515797981797002,0.05860034112549312,0.055458937198067715,-0.05666666666666664,20.0
NBA,Points + Assists,3.0,28.0,-8.83,-0.31535714285714284,0.06815038893690567,0.06815038893690567,0.0013223854796887806,20.0
NBA,Points + Rebounds,2.0,18.0,-3.55,-0.19722222222222222,0.06249125066494948,0.06249125066494948,-0.013170199064871078,20.0
NBA,Points + Rebounds + Assists,2.0,25.0,20.79,0.8316,-0.0514159764894469,-0.0514159764894469,-0.0630750734704782,20.0
NBA,Rebounds,319.0,3306.17137,283.14,0.08563984388988281,0.04899701682423135,0.043715846994535346,-0.046954595791805165,20.0
NBA,Rebounds + Assists,52.0,417.44,16.789999999999996,0.04022134917592946,0.026450287688801227,0.029268292682926855,-0.06092165463893213,20.0
NBA,Steals,2.0,19.369999999999997,-19.369999999999997,-1.0,0.11058254610886198,0.11058254610886198,-0.0301911830859199,20.0
NBA,Steals + Blocks,1.0,10.0,-10.0,-1.0,0.0049261083743843415,0.0049261083743843415,0.0049261083743843415,20.0
NBA,Total,103.0,939.41836,126.28,0.13442360228088368,0.03303693818197817,0.029327783129214247,-0.03757939308398023,20.0
NBA,Total Assists,14.0,275.15,-77.02,-0.27992004361257494,0.06149137911420521,0.07050338132635248,-0.0305084745762712,20.0
NBA,Total Points,17.0,362.97,15.650000000000006,0.04311651100641928,0.07477164031098057,0.048698439105543834,-0.04475022825094557,20.0
NCAAFB,Moneyline,1.0,5.0,-5.0,-1.0,0.123404255319149,0.123404255319149,0.123404255319149,20.0
NCAAFB,Other,1.0,1.0,1.1,1.1,0.009615384615384581,0.009615384615384581,0.009615384615384581,20.0
NCAAFB,Point Spread,1.0,1.0,1.15,1.15,-0.022727272727272818,-0.022727272727272818,-0.022727272727272818,20.0
NCAAFB,Total,5.0,34.0,8.09,0.23794117647058824,0.0717227624033907,0.06857142857142873,0.013714285714285747,20.0
NCAAFB,Total Points,1.0,1.0,0.87,0.87,-0.020942408376963262,-0.020942408376963262,-0.020942408376963262,20.0
NCAAFB,Total Receiving Yards,21.0,151.66,-6.9099999999999975,-0.045562442305156256,0.019103941217663147,0.0,-0.022971543281881467,20.0
NCAAFB,Total Rushing Yards,26.0,191.64,-36.93,-0.1927050720100188,0.12851291386960972,0.13297872340425543,0.10638297872340426,20.0
NCAAM,Moneyline,4.0,30.0,-16.759999999999998,-0.5586666666666666,0.07062643541617171,0.05245901639344264,0.010491803278688528,20.0
